URL,title,author,album
https://music.163.com/song?id=31260307,Liebesleid,马友友,Yo-Yo Ma Impressions
https://music.163.com/song?id=29561577,Beloved,Michael Hoppé,Rarities Vol.1
https://music.163.com/song?id=1351687036,10. 岚山夜 - Take Me Away,废铁,Impression of Landscape
https://music.163.com/song?id=22455080,Capricho Arabe,Christopher Parkening,In The Spanish Style
https://music.163.com/song?id=2640823,Marching Through Georgia,Goldmund,Corduroy Road
https://music.163.com/song?id=500556094,Home Sweet Home,Wilma Lee & Stoney Cooper,"The Wilma Lee & Stoney Cooper Compilation, Vol. 2"
https://music.163.com/song?id=138917,西班牙斗牛士,欧翠峰,永恒的号角
https://music.163.com/song?id=28461167,Master Of Tides,Lindsey Stirling,Shatter Me
https://music.163.com/song?id=1402887802,莫札特：歌剧《魔笛》，「帕帕基诺想找个伴」,乔治．盖伯勒,温柔小天使
https://music.163.com/song?id=25936786,"A Midsummer Night's Dream, Incidental Music, Op.61, MWV M 13: No.3 Song with Chorus: ""Bunte Schlangen, zweigezüngt""",Kathleen Battle,Mendelssohn: A Midsummer Night's Dream
https://music.163.com/song?id=5259435,Sabre Dance,Aram Khachaturian,Supreme Stereo Sound Majesty
https://music.163.com/song?id=1489566,Theme From Schindler's List,John Williams,Schindler's List (Original Motion Picture Soundtrack)
https://music.163.com/song?id=26936848,"Norma, Act 1 - Scene 1:Sediziose voci",Vincenzo Salvatore Carmelo Francesco Bellini,Norma
https://music.163.com/song?id=28908573,"Tritsch-Tratsch, Op. 214",Wiener Philharmoniker,100 Best Wiener Philharmoniker
https://music.163.com/song?id=16261429,Sicilienne,Aage Kvalbein,Franske Mirakler
https://music.163.com/song?id=465833366,May it Be,2Cellos,Score
https://music.163.com/song?id=25480736,Arioso (Adagio in G) from Cantata BWV 156 (Arr. Lloyd Webber),Julian Lloyd Webber,Baroque Adagios
https://music.163.com/song?id=1501611,"Suite No. 1, BWV 1007, In G:Allemande",Janos Starker,Bach: Suites for Solo Cello
https://music.163.com/song?id=1699535,Libertango,马友友,Soul of the Tango
https://music.163.com/song?id=1902333535,"Turandot ""Nessun Dorma""",Grand Epic Orchestra London,"Greatest Classical Music Moments in Movies, Vol. 2"
https://music.163.com/song?id=25729687,"Piano Sonata No.8 In C Minor, Op.13 -""Pathétique"":1. Grave - Allegro di molto e con brio",Wilhelm Kempff,"Beethoven: Piano Sonatas Nos. 8, 14, 21 & 23"
https://music.163.com/song?id=5160803,维瓦尔第:《和谐的灵感》第八号-快板《一九七三年的弹子球》,Various Artists,村上春树的音乐异想世界
https://music.163.com/song?id=22279774,March in D K335/K20a (i) (1991 Digital Remaster),Daniel Barenboim,"Mozart: Symphonies Nos. 32, 35, 36, 40 & 41 etc."
https://music.163.com/song?id=22599496,Can Can,Harry Mortimer,Best Of Brass Bands
https://music.163.com/song?id=667131,"Piano Sonata No.9 in D, K.311:2. Andantino con espressione",内田光子,Mozart: The Piano Sonatas
https://music.163.com/song?id=465370936,"Keyboard Concerto in C Major, Hob.XVIII:5*:II. Andante",Helmut Müller-Brühl,"HAYDN, J.: Keyboard Concertos (Hoeren, Haugsand, Muller-Bruhl)"
https://music.163.com/song?id=28245309,Seveen,Otto A Totland,Pinô
https://music.163.com/song?id=26484066,Experience,Ludovico Einaudi,In A Time Lapse
https://music.163.com/song?id=18579063,Pan's Labyrinth Lullaby,Javier Navarrete,Pan's Labyrinth
https://music.163.com/song?id=5041139,Penser l'impossible,Solal,Mozart L'opera Rock (Complete Recording)
https://music.163.com/song?id=862109541,"Nr.3 Duetto:""Se Inclinassi A Prender Moglie"" (Aus-From L´Italiana In Algeri - Gioacchino Rossini)","Lindoro, Mustafa, Staatskapelle Dresden und der Chor der Staatsoper Dresden",L'italiana in Algeri-Gioacchino Rossini-Komische Oper in Drei Akten-Comic Opera in Two Acts Cd1
